id_tipe,id_motor
1,3038
1,3041
1,3040
1,3033
2,3038
2,3041
2,3040
2,3033
3,3038
3,3041
3,3040
3,3033
4,3038
4,3041
4,3040
4,3033
5,3001
5,3002
5,3003
5,3004
5,3005
5,3006
5,3007
5,3008
5,3009
5,3010
5,3011
5,3012
5,3013
5,3014
5,3015
5,3016
5,3017
5,3018
6,3020
6,3021
7,3001
7,3002
7,3003
7,3004
7,3005
7,3006
7,3007
7,3008
7,3009
7,3010
7,3011
7,3012
7,3012
7,3014
7,3015
7,3016
7,3015
7,3018
8,3038
8,3041
8,3040
8,3033
9,3020
9,3021
10,3020
10,3021
11,3020
11,3021
12,3038
12,3041
12,3040
12,3033
13,3041
13,3040
13,3033
13,3034
14,3032
14,3033
14,3038
14,3040
14,3041
15,3032
15,3033
15,3034
15,3038
16,3007
16,3008
16,3009
16,3010
16,3011
16,3012
16,3013
16,3014
16,3015
16,3016
16,3017
16,3018
16,3019
16,3020
16,3021
16,3022
16,3023
17,3007
17,3008
17,3009
17,3010
17,3011
17,3012
17,3013
17,3014
17,3015
17,3016
17,3017
17,3018
17,3019
17,3020
17,3021
17,3022
17,3023
17,3028
17,3029
17,3030
17,3031
17,3032
17,3033
17,3035
17,3036
17,3037
18,3026
18,3027
18,3030
18,3031
18,3032
18,3033
18,3034
18,3038
18,3040
18,3041
19,3013
19,3042
19,3043
19,3044
20,3045
20,3046
21,3041
21,3040
21,3033
21,3034
22,3001
22,3002
22,3003
22,3004
22,3005
22,3006
22,3007
22,3008
22,3009
22,3010
22,3011
22,3012
22,3013
22,3014
22,3015
22,3016
22,3017
22,3018
22,3019
22,3020
22,3021
22,3022
22,3023
22,3024
22,3025
22,3026
22,3027
22,3028
22,3029
22,3030
22,3031
22,3032
22,3033
22,3034
22,3035
22,3036
22,3037
22,3038
22,3039
22,3040
22,3041
22,3042
22,3043
22,3044
23,3041
23,3040
23,3033
23,3034
24,3013
25,3017
25,3019
26,3017
27,3012
28,3030
29,3016
29,3020
29,3014
30,3012
31,3012
32,3017
32,3019
33,3014
33,3021
33,3007
34,3030
35,3017
35,3020
36,3013
37,3019
37,3017
38,3019
38,3017
39,3017
39,3018
39,3022
39,3020
39,3011
40,3012
40,3013
41,3012
41,3013
42,3013
43,3014
43,3021
43,3007
44,3012
44,3011
44,3013
45,3012
45,3013
46,3012
46,3013
47,3030
48,3033
48,3038
48,3018
48,3020
48,3013
49,3035
49,3031
50,3023
51,3009
51,3010
51,3013
52,3017
53,3011
53,3013
53,3020
54,3032
54,3008
55,3036
56,3028
56,3037
57,3031
57,3011
58,3033
58,3034
58,3032
59,3023
60,3037
61,3012
62,3009
62,3010
62,3013
63,3013
64,3013
65,3024
65,3039
66,3026
67,3027
67,3024
68,3005
68,3006
69,3024
69,3039
70,3027
71,3003
72,3002
72,3004
73,3040
73,3041
73,3042
73,3002
74,3027
75,3041
75,3040
76,3042
76,3041
76,3025
77,3043
77,3044
78,3024
78,3039
79,3001
80,3002
81,3003
82,3002
82,3004
82,3005
82,3006
82,3007
82,3008
82,3009
82,3010
82,3011
82,3014
82,3016
82,3019
82,3020
82,3022
82,3023
82,3024
82,3025
82,3026
82,3027
82,3028
82,3029
82,3030
82,3031
82,3032
82,3033
82,3034
82,3035
82,3036
82,3037
82,3038
82,3039
82,3040
82,3041
83,3001
83,3003
83,3012
83,3013
83,3018
83,3019
83,3021
83,3043
83,3044
84,3002
84,3004
84,3005
84,3006
84,3007
84,3008
84,3009
84,3010
84,3011
84,3014
84,3016
84,3019
84,3020
84,3022
84,3023
84,3024
84,3025
84,3026
84,3027
84,3028
84,3029
84,3030
84,3031
84,3032
84,3033
84,3034
84,3035
84,3036
84,3037
84,3038
84,3039
84,3040
84,3041
