Nama_Merk,Kode_Merk
AHM,M1
Aspira,M2
Castrol,M3
Denso,M4
FDR,M5
GS,M6
IRC,M7
NGK,M8
Repsol,M9
Shell,M10
Swallow,M11
Top1,M12
Yamaha,M13
Yuasa,M14
