Nama_Jenis,Kode_Part
Ban,SP1
Oli,SP2
Seher,SP3
Segitiga Depan,SP4
Fuel Pump,SP5
Shock Belakang,SP6
Shock Depan,SP7
Van Belt,SP8
Pulley,SP9
Cakram Depan,SP10
Plate Comp Drive,SP11
Bearing Ball,SP12
Kabel Gas,SP13
Kampas Rem Depan,SP14
Kampas Kopling,SP15
Kampas Rem Belakang,SP16
Bohlam Sein,SP17
Bohlam Depan,SP18
Bohlam Belakang,SP19
Busi,SP20
Klakson,SP21
Radiator,SP22
Selang Radiator,SP23
Aki,SP24
