nama_jenis
Aki
Ban
Bearing Ball
Bohlam Belakang
Bohlam Depan
Bohlam Sein
Busi
Cakram Depan
Fuel Pump
Kabel Gas
Kampas Kopling
Kampas Rem Belakang
Kampas Rem Depan
Klakson
Oli
Plate Comp Drive
Pulley
Radiator
Segitiga Depan
Seher
Selang Radiator
Shock Belakang
Shock Depan
Van Belt
