nama_motor
Aerox
BeAT eSP
BeAT FI
BeAT FI eSP
Beat POP eSP
BeAT Sporty
Blade
Blade Karbu
Byson
CB 150 R
CBR 150
Jupiter MX
Jupiter MX 135
Jupiter MX 135 LC
Jupiter Z
Mio 115
Mio Fino
Mio GT
Mio M3
Mio Soul
Mio Soul 115
Ninja 150 RR
Ninja 150 SS
Nmax
Revo
Scoopy eSP
Scoopy FI
Scoopy FI eSP
Spacy
Spacy FI
Supra FIT
Supra GTR
Supra X
Supra X 125 FI
Supra X 125 Helm In
Vario 110 eSP
Vario 110 FI
Vario 110 Karbu
Vario 125
Vario 125 eSP
Vario 125 FI
Vario 150 eSP
Vega R
Verza
Vixion
Xeon
